K	Variance
835	1.9208023E-6
836	1.8425375E-6
837	1.8119025E-6
838	1.6537323E-6
839	1.680868E-6
840	1.7701149E-6
841	2.0329878E-6
842	2.2389308E-6
843	1.750762E-6
844	1.8222198E-6
845	1.8093267E-6
846	1.8721286E-6
847	1.7408031E-6
848	1.950243E-6
849	1.7773933E-6
850	1.6752342E-6
851	1.8483059E-6
852	1.9052148E-6
853	1.6955898E-6
854	1.7293264E-6
855	1.7814833E-6
856	1.7217161E-6
857	1.8472681E-6
858	1.7388259E-6
859	1.8575098E-6
860	1.7068716E-6
861	1.6770562E-6
862	1.7676045E-6
863	1.7639295E-6
864	1.8461419E-6
865	1.7864703E-6
866	1.6282189E-6
867	1.8537523E-6
868	1.7491867E-6
869	1.8596533E-6
870	1.7248892E-6
871	1.6465616E-6
872	1.6711734E-6
873	1.9282293E-6
874	1.60793E-6
875	1.6398814E-6
876	1.7013521E-6
877	1.759688E-6
878	1.7388637E-6
879	1.66971E-6
880	1.6318128E-6
881	1.6858764E-6
882	1.6720525E-6
883	1.5836338E-6
884	1.558019E-6
885	1.7784498E-6
886	1.5710382E-6
887	1.6067792E-6
888	1.6446445E-6
889	1.5912942E-6
890	1.6017659E-6
891	1.6628187E-6
892	1.7990815E-6
893	1.5422197E-6
894	1.623295E-6
895	1.6788905E-6
896	1.6453803E-6
897	1.5666213E-6
898	1.632086E-6
899	1.7630506E-6
900	1.5891068E-6
901	1.5202725E-6
902	1.7656752E-6
903	1.6723279E-6
904	1.599909E-6
905	1.6423811E-6
906	1.5845953E-6
907	1.5694623E-6
908	1.6714159E-6
909	1.7046733E-6
910	1.5966751E-6
911	1.8120137E-6
912	1.5955412E-6
913	1.5571976E-6
914	1.539035E-6
915	1.5152822E-6
916	1.6070954E-6
917	1.5521497E-6
918	1.6517945E-6
919	1.5237124E-6
920	1.4512113E-6
921	1.5382138E-6
922	1.6171168E-6
923	1.6253389E-6
924	1.5837625E-6
925	1.6038662E-6
926	1.7095126E-6
927	1.4992617E-6
928	1.4859748E-6
929	1.5064396E-6
930	1.5572055E-6
931	1.4753531E-6
932	1.5962755E-6
933	1.5156647E-6
934	1.4931752E-6
935	1.5408161E-6
936	1.5890384E-6
937	1.4437699E-6
938	1.4582552E-6
939	1.5711603E-6
940	1.5491217E-6
941	1.5759288E-6
942	1.6276105E-6
943	1.4361053E-6
944	1.4869277E-6
945	1.4409708E-6
946	1.4789787E-6
947	1.6021E-6
948	1.5649683E-6
949	1.5023062E-6
950	1.4593622E-6
951	1.3771484E-6
952	1.4080385E-6
953	1.4810025E-6
954	1.468401E-6
955	1.4915506E-6
956	1.5764915E-6
957	1.528017E-6
958	1.413518E-6
959	1.4284548E-6
960	1.4842658E-6
961	1.383231E-6
962	1.4316328E-6
963	1.4328481E-6
964	1.457835E-6
965	1.4887642E-6
966	1.507615E-6
967	1.4199907E-6
968	1.4415762E-6
969	1.4364875E-6
970	1.4976736E-6
971	1.3603237E-6
972	1.4920803E-6
973	1.386849E-6
974	1.4046873E-6
975	1.4513116E-6
976	1.4484142E-6
977	1.414098E-6
978	1.4410138E-6
979	1.4265273E-6
980	1.406117E-6
981	1.4065536E-6
982	1.450407E-6
983	1.4479235E-6
984	1.4619161E-6
985	1.519612E-6
986	1.4598002E-6
987	1.4786023E-6
988	1.375148E-6
989	1.3668811E-6
990	1.4482281E-6
991	1.4168219E-6
992	1.2972495E-6
993	1.4362458E-6
994	1.4180296E-6
995	1.3511807E-6
996	1.3635209E-6
997	1.4809367E-6
998	1.4738686E-6
999	1.4426201E-6
1000	1.4166052E-6
